# Project: hPSC Trophectodermal Differentiation, 53 samples											
# General Groups: PSC, PSC-TE, 3L differentiation, choriocarcinoma lines											
# Submitted: 2019-6 # Sequencing: 2019-9											
# Core Lab: Frederick National Laboratory for Cancer Research, CCR-Sequencing Facility											
# Investigator: Jaroslav Slamecka											
# PI: Ilyas Singec											
# Institution: NIH											
# Department: NCATS											
# Lab:SCTL											
# Notes:											
FileName1	FileName2	SampleID	SampleName.LIMS	CellType	Line	PlotColor	PlotPCH	PlotPCH.2	PlotShape	Flowcell	read.length
JS43_S43_R1_001.fastq.gz	JS43_S43_R2_001.fastq.gz	JS43_S43	H9Endo_i52_r1	Endo	H9	darkorange1	21	21	circle	HG2V2DRXX	150
JS44_S44_R1_001.fastq.gz	JS44_S44_R2_001.fastq.gz	JS44_S44	H9Meso_i52_r1	Meso	H9	darkolivegreen3	21	21	circle	HG2V2DRXX	150
JS45_S45_R1_001.fastq.gz	JS45_S45_R2_001.fastq.gz	JS45_S45	H9Ecto_i52_r1	Ecto	H9	darkorchid2	21	21	circle	HG2V2DRXX	150
JS46_S46_R1_001.fastq.gz	JS46_S46_R2_001.fastq.gz	JS46_S46	JEG3_p1_r1	CC	JEG3	dodgerblue3	24	23	diamond	HG2V2DRXX	150
JS47_S47_R1_001.fastq.gz	JS47_S47_R2_001.fastq.gz	JS47_S47	JEG3_p2_r2	CC	JEG3	dodgerblue3	24	23	diamond	HG2V2DRXX	150
JS48_S48_R1_001.fastq.gz	JS48_S48_R2_001.fastq.gz	JS48_S48	JEG3_p4_r1	CC	JEG3	dodgerblue3	24	23	diamond	HG2V2DRXX	150
JS49_S49_R1_001.fastq.gz	JS49_S49_R2_001.fastq.gz	JS49_S49	JEG3_p4_r2	CC	JEG3	dodgerblue3	24	23	diamond	HG2V2DRXX	150
JS4_S5_R1_001.fastq.gz	JS4_S5_R2_001.fastq.gz	JS4_S5	H9Endo_p47_0_r1	Endo	H9	darkorange1	21	21	circle	HG2V2DRXX	150
JS50_S50_R1_001.fastq.gz	JS50_S50_R2_001.fastq.gz	JS50_S50	BeWo_p2_r1	CC	BeWo	dodgerblue3	25	23	diamond	HG2V2DRXX	150
JS51_S51_R1_001.fastq.gz	JS51_S51_R2_001.fastq.gz	JS51_S51	BeWo_p2_r2	CC	BeWo	dodgerblue3	25	23	diamond	HG2V2DRXX	150
JS52_S52_R1_001.fastq.gz	JS52_S52_R2_001.fastq.gz	JS52_S52	BeWo_p3_r1	CC	BeWo	dodgerblue3	25	23	diamond	HG2V2DRXX	150
JS53_S53_R1_001.fastq.gz	JS53_S53_R2_001.fastq.gz	JS53_S53	BeWo_p4	CC	BeWo	dodgerblue3	25	23	diamond	HG2V2DRXX	150
JS5_S6_R1_001.fastq.gz	JS5_S6_R2_001.fastq.gz	JS5_S6	H9Meso_p48_0_r2	Meso	H9	darkolivegreen3	21	21	circle	HG2V2DRXX	150
JS6_S7_R1_001.fastq.gz	JS6_S7_R2_001.fastq.gz	JS6_S7	H9Ecto_p47_0_r1	Ecto	H9	darkorchid2	21	21	circle	HG2V2DRXX	150
JS7_S8_R1_001.fastq.gz	JS7_S8_R2_001.fastq.gz	JS7_S8	H9Endo_p48_0_r1	Endo	H9	darkorange1	21	21	circle	HG2V2DRXX	150
JS8_S9_R1_001.fastq.gz	JS8_S9_R2_001.fastq.gz	JS8_S9	H9Ecto_p48_0_r1	Ecto	H9	darkorchid2	21	21	circle	HG2V2DRXX	150
JS9_S10_R1_001.fastq.gz	JS9_S10_R2_001.fastq.gz	JS9_S10	H9_p51_2D1	ESC	H9	cadetblue4	21	21	circle	HG2V2DRXX	150
